Income;Renda
Salary;Salário
Retirement;Aposentadoria
Entrepreneurial activities;Atividades de empreendedorismo
Government aid;Auxílio do governo
Non-recurring income;Renda não-recorrente
Loans and financing;Empréstimos e financiamento
Late payment and overdraft costs;Atraso no pagamento e custos de cheque especial
Interests charged;Juros cobrados
Financing;Financiamento
Real estate financing;Financiamento imobiliário
Vehicle financing;Financiamento de veículos
Student loan;Empréstimo estudantil
Loans;Empréstimos
Investments;Investimentos
Automatic investment;Investimento automático
Fixed income;Renda fixa
Mutual funds;Fundos multimercado
Variable income;Renda variável
Margin;Ajuste de margem
Proceeds interests and dividends;Juros de rendimentos de dividendos
Pension;Pensão
Same person transfer;Transferência mesma titularidade
Same person transfer - CASH;Transferência mesma titularidade - Dinheiro
Same person transfer - PIX;Transferência mesma titularidade - PIX
Same person transfer - TED;Transferência mesma titularidade - TED
Transfers;Transferências
Transfer - Bank Slip;Transferência - Boleto bancário
Transfer - Cash;Transferência - Dinheiro
Transfer - Check;Transferência - Cheque
Transfer - DOC;Transferências- DOC
Transfer - Foreign Exchange;Transferência - Câmbio
Transfer - Internal;Transferência - Mesma instituição
Transfer - PIX;Transferência - PIX
Transfer - TED;Transferência - TED
Third party transfers;Transferências para terceiros
Third party transfer - Bank Slip;Transferência para terceiros - Boleto bancário
Third party transfer - Debit Card;Transferência para terceiros - Débito
Third party transfer - DOC;Transferência para terceiros - DOC
Third party transfer - PIX;Transferência para terceiros - PIX
Third party transfer - TED;Transferência para terceiros - TED
Credit card payment;Pagamento de cartão de crédito
Legal obligations;Obrigações legais
Blocked balances;Saldo bloqueado
Alimony;Pensão alimentícia
Services;Serviços
Telecommunications;Telecomunicação
Internet;Internet
Mobile;Celular
TV;TV
Education;Educação
Online Courses;Cursos online
University;Universidade
School;Escola
Kindergarten;Creche
Wellness and fitness;Saúde e bem-estar
Gyms and fitness centers;Academia e centros de lazer
Sports practice;Prática de esportes
Wellness;Bem-estar
Tickets;Bilhetes
Stadiums and arenas;Estádios e arenas
Landmarks and museums;Museus e pontos turísticos
Cinema, theater and concerts;Cinema, Teatro e Concertos
Shopping;Compras
Online shopping;Compras online
Electronics;Eletrônicos
Pet supplies and vet;Pet Shops e veterinários
Clothing;Vestiário
Kids and toys;Artigos infantis
Bookstore;Livraria
Sports goods;Artigos esportivos
Office supplies;Papelaria
Cashback;Cashback
Digital services;Serviços digitais
Gaming;Jogos e videogames
Video streaming;Streaming de vídeo
Music streaming;Streaming de música
Groceries;Supermercado
Food and drinks;Alimentos e bebidas
Eating out;Restaurantes, bares e lanchonetes
Food delivery;Delivery de alimentos
Travel;Viagens
Airport and airlines;Aeroportos e cias. aéreas
Accomodation;Hospedagem
Mileage programs;Programas de milhagem
Bus tickets;Passagem de ônibus
Donations;Doações
Gambling;Apostas
Lottery;Loteria
Online bet;Apostas online
Taxes;Impostos
Income taxes;Imposto de renda
Taxes on investments;Imposto sobre investimentos
Tax on financial operations;Impostos sobre operações financeiras
Bank fees;Taxas bancárias
Account fees;Taxas de conta corrente
Wire transfer fees and ATM fees;Taxas sobre transferências e caixa eletrônico
Credit card fees;Taxas de cartão de crédito
Housing;Moradia
Rent;Aluguel
Utilities;Serviços de utilidade pública
Water;Água
Electricity;Eletricidade
Gas;Gás
Houseware;Utensílios para casa
Urban land and building tax;Impostos sobre moradia
Healthcare;Saúde
Dentist;Dentista
Pharmacy;Farmácia
Optometry;Ótica
Hospital clinics and labs;Hospitais, clínicas e laboratórios
Transportation;Transporte
Taxi and ride-hailing;Táxi e transporte privado urbano
Public transportation;Transporte público
Car rental;Aluguel de veículos
Bicycle;Aluguel de bicicletas
Automotive;Serviços automotivos
Gas stations;Postos de gasolina
Parking;Estacionamentos
Tolls and in vehicle payment;Pedágios e pagamentos no veículo
Vehicle ownership taxes and fees;Taxas e impostos sobre veículos
Vehicle maintenance;Manutenção de veículos
Traffic tickets;Multas de trânsito
Insurance;Seguros
Life insurance;Seguro de vida
Home insurance;Seguro residencial
Health insurance;Seguro saúde
Vehicle insurance;Seguro de veículos
Leisure;Lazer
Other;Outros
